Model,Threshold source,Threshold,N,NORMAL,PNEUMONIA,Accuracy,Accuracy 95% CI low,Accuracy 95% CI high,Balanced accuracy,Balanced accuracy 95% CI low,Balanced accuracy 95% CI high,F1,F1 95% CI low,F1 95% CI high,Sensitivity,Sensitivity 95% CI low,Sensitivity 95% CI high,Specificity,Specificity 95% CI low,Specificity 95% CI high,PPV,PPV 95% CI low,PPV 95% CI high,NPV,ROC AUC,ROC AUC 95% CI low,ROC AUC 95% CI high,PR AUC,PR AUC 95% CI low,PR AUC 95% CI high,Brier raw,NLL raw,ECE raw,Brier temperature scaled,NLL temperature scaled,ECE temperature scaled,TN,FP,FN,TP,Bootstrap groups,Bootstrap samples
ResNet18,Default,0.5,108,32,76,0.7037037037037037,0.57284375,0.8063019860804617,0.5,0.5,0.5,0.8260869565217391,0.7284177669042898,0.8927652983524851,1.0,1.0,1.0,0.0,0.0,0.0,0.7037037037037037,0.57284375,0.8063019860804617,undefined,0.8552631578947367,0.7619259699746945,0.9277214203783632,0.925926876371846,0.8387460969634637,0.9749817203241998,0.2763843536376953,1.1573327779769895,0.2806366229498828,0.2946290671825409,2.332592725753784,0.2953330852367259,0,32,0,76,68,1000
ResNet18,Internal validation best F1,0.45,108,32,76,0.7037037037037037,0.57284375,0.8063019860804617,0.5,0.5,0.5,0.8260869565217391,0.7284177669042898,0.8927652983524851,1.0,1.0,1.0,0.0,0.0,0.0,0.7037037037037037,0.57284375,0.8063019860804617,undefined,0.8552631578947367,0.7619259699746945,0.9277214203783632,0.925926876371846,0.8387460969634637,0.9749817203241998,0.2763843536376953,1.1573327779769895,0.2806366229498828,0.2946290671825409,2.332592725753784,0.2953330852367259,0,32,0,76,68,1000
MobileNetV3-Small,Default,0.5,108,32,76,0.7037037037037037,0.57284375,0.8063019860804617,0.5,0.5,0.5,0.8260869565217391,0.7284177669042898,0.8927652983524851,1.0,1.0,1.0,0.0,0.0,0.0,0.7037037037037037,0.57284375,0.8063019860804617,undefined,0.911595394736842,0.8320493278833272,0.964323812947111,0.9643848281615144,0.9157030499753276,0.9877628252339262,0.1793762594461441,0.5258530378341675,0.1988019976350996,0.226577028632164,0.6658322811126709,0.2216421001487308,0,32,0,76,68,1000
MobileNetV3-Small,Internal validation best F1,0.345,108,32,76,0.7037037037037037,0.57284375,0.8063019860804617,0.5,0.5,0.5,0.8260869565217391,0.7284177669042898,0.8927652983524851,1.0,1.0,1.0,0.0,0.0,0.0,0.7037037037037037,0.57284375,0.8063019860804617,undefined,0.911595394736842,0.8320493278833272,0.964323812947111,0.9643848281615144,0.9157030499753276,0.9877628252339262,0.1793762594461441,0.5258530378341675,0.1988019976350996,0.226577028632164,0.6658322811126709,0.2216421001487308,0,32,0,76,68,1000
