repeat,checkpoint,best_val_acc_default_threshold,validation_selected_threshold,validation_best_f1,selected_threshold,selected_accuracy,selected_f1,selected_roc_auc,selected_pr_auc,selected_sensitivity,selected_specificity,selected_tn,selected_fp,selected_fn,selected_tp,selected_ci_acc_low,selected_ci_acc_high,selected_ci_f1_low,selected_ci_f1_high,selected_ci_auc_low,selected_ci_auc_high,selected_ci_pr_auc_low,selected_ci_pr_auc_high,selected_bootstrap_groups,selected_bootstrap_samples,default_0_5_threshold,default_0_5_accuracy,default_0_5_f1,default_0_5_roc_auc,default_0_5_pr_auc,default_0_5_sensitivity,default_0_5_specificity,default_0_5_tn,default_0_5_fp,default_0_5_fn,default_0_5_tp,default_0_5_ci_acc_low,default_0_5_ci_acc_high,default_0_5_ci_f1_low,default_0_5_ci_f1_high,default_0_5_ci_auc_low,default_0_5_ci_auc_high,default_0_5_ci_pr_auc_low,default_0_5_ci_pr_auc_high,default_0_5_bootstrap_groups,default_0_5_bootstrap_samples
repeat_01,local_file/best_resnet18_repeat_01.pth,0.94279176201373,0.155,0.9812206572769951,0.155,0.9668192219679634,0.9773967264224472,0.9932502699229644,0.9975721362073792,0.9843014128728416,0.919831223628692,218,19,10,627,0.9544748156875128,0.9771428571428572,0.9683493912763042,0.9844109535294322,0.989098667097277,0.9967291753268572,0.9957438492805584,0.9989124405668414,641,1000,0.5,0.9565217391304348,0.9694041867954912,0.9932502699229644,0.9975721362073792,0.945054945054945,0.9873417721518988,234,3,35,602,0.942751302502954,0.9694284360008651,0.9594011783117004,0.9785795137019012,0.989098667097277,0.9967291753268572,0.9957438492805584,0.9989124405668414,641,1000
repeat_02,local_file/best_resnet18_repeat_02.pth,0.94279176201373,0.305,0.9819324430479184,0.305,0.9702517162471396,0.9796238244514106,0.9949261106584796,0.9981303951997956,0.9811616954474096,0.940928270042194,223,14,12,625,0.9581447963800904,0.9802577994400918,0.970902013740305,0.98651916970721,0.991297747967148,0.9975486740084978,0.9966667920433816,0.9991086240074812,641,1000,0.5,0.9576659038901602,0.9703287890938253,0.9949261106584796,0.9981303951997956,0.9497645211930926,0.978902953586498,232,5,32,605,0.943137514206554,0.9701175099735356,0.9593099627760906,0.979253112033195,0.991297747967148,0.9975486740084978,0.9966667920433816,0.9991086240074812,641,1000
repeat_03,local_file/best_resnet18_repeat_03.pth,0.9496567505720824,0.08,0.9798136645962732,0.08,0.9633867276887872,0.975346687211094,0.9941179977346344,0.9977100266851266,0.9937205651491364,0.8818565400843882,209,28,4,633,0.950167047381296,0.975555095630002,0.9661831947912748,0.983580922595778,0.9895666482990644,0.9976590449741424,0.9957349831791584,0.9991115655992642,641,1000,0.5,0.9393592677345538,0.9568755085435312,0.9941179977346344,0.9977100266851266,0.9230769230769232,0.9831223628691984,233,4,49,588,0.9239606462086302,0.9541297539855188,0.9456036651864312,0.9679391759639852,0.9895666482990644,0.9976590449741424,0.9957349831791584,0.9991115655992642,641,1000
repeat_04,local_file/best_resnet18_repeat_04.pth,0.9439359267734554,0.145,0.9790535298681148,0.145,0.965675057208238,0.9764150943396226,0.9906636461790168,0.9963258774327411,0.9748822605965464,0.940928270042194,223,14,16,621,0.9531053063201406,0.9782153471417688,0.9673826571201272,0.9852302956383644,0.9847048959713746,0.9957321454210422,0.9934096930284856,0.9984497133515472,641,1000,0.5,0.9462242562929062,0.9620661824051656,0.9906636461790168,0.9963258774327411,0.93563579277865,0.9746835443037974,231,6,41,596,0.9307949640429052,0.9603287340876572,0.950521121481984,0.9723341961084792,0.9847048959713746,0.9957321454210422,0.9934096930284856,0.9984497133515472,641,1000
repeat_05,local_file/best_resnet18_repeat_05.pth,0.9244851258581236,0.2,0.975800156128025,0.2,0.9679633867276888,0.9782608695652174,0.9931177923944652,0.9974592403627748,0.989010989010989,0.9113924050632912,216,21,7,630,0.9564207675454766,0.979476069017644,0.97024605264865,0.9862390573569576,0.9892936783417654,0.9962795683662464,0.9960118481912597,0.9986527599589357,641,1000,0.5,0.9416475972540046,0.9588377723970944,0.9931177923944652,0.9974592403627748,0.9324960753532182,0.9662447257383966,229,8,43,594,0.9257591495958596,0.956573904544714,0.9470988651063112,0.969603599689682,0.9892936783417654,0.9962795683662464,0.9960118481912597,0.9986527599589357,641,1000
