metric,mean,std,min,max
accuracy,0.9668192219679634,0.0025584301802057,0.9633867276887872,0.9702517162471396
f1,0.9774086403979584,0.0016486556342868,0.975346687211094,0.9796238244514106
roc_auc,0.993215163377912,0.0016018273991554,0.9906636461790168,0.9949261106584796
pr_auc,0.9974395351775636,0.0006724318043521,0.9963258774327411,0.9981303951997956
sensitivity,0.9846153846153848,0.0072281723285534,0.9748822605965464,0.9937205651491364
specificity,0.9189873417721518,0.0244943886475949,0.8818565400843882,0.940928270042194
