model,label,images,patient_groups,mean_probability_shift,mean_probability_shift_95ci_low,mean_probability_shift_95ci_high,median_probability_shift,q1_probability_shift,q3_probability_shift,median_probability_shift_95ci_low,median_probability_shift_95ci_high,prediction_flips,prediction_flip_rate,prediction_flip_rate_95ci_low,prediction_flip_rate_95ci_high,threshold_crossings,threshold_crossing_rate,threshold_crossing_rate_95ci_low,threshold_crossing_rate_95ci_high
ResNet18,ALL,108,68,0.3013252836686593,0.2041326162506498,0.4271772148533411,0.0078426003456115,-0.0026582032442092,0.7784566134214401,0.0003365255892276,0.293201496452093,35,0.324074074074074,0.2113792511164548,0.468765943877551,35,0.324074074074074,0.2113792511164548,0.468765943877551
ResNet18,NORMAL,32,30,0.8618710655719042,0.8009380030073225,0.9071893186078352,0.9111973345279694,0.8268377035856247,0.954879105091095,0.8842449486255646,0.9411662817001342,30,0.9375,0.84375,1.0,30,0.9375,0.84375,1.0
ResNet18,PNEUMONIA,76,38,0.0653060070778194,0.0209662461922914,0.1274747225200688,-0.0004118978977202,-0.0045113861560821,0.0159751772880553,-0.0026700496673583,0.0034828782081604,5,0.0657894736842105,0.012041105598866,0.1481606606606606,5,0.0657894736842105,0.012041105598866,0.1481606606606606
MobileNetV3-Small,ALL,108,68,0.1233013722079771,0.0425285430390202,0.2268996312968555,-0.0595353245735168,-0.1411305367946624,0.4454121440649032,-0.1180768013000488,0.2537955611944195,31,0.287037037037037,0.1868662783254384,0.4186950904392764,31,0.287037037037037,0.1868662783254384,0.4186950904392764
MobileNetV3-Small,NORMAL,32,30,0.5719222398474813,0.5305874435143949,0.6155840863473714,0.5535798966884613,0.4991880357265472,0.6589169204235077,0.5285978615283966,0.6195897459983826,30,0.9375,0.8529411764705882,1.0,30,0.9375,0.8529411764705882,1.0
MobileNetV3-Small,PNEUMONIA,76,38,-0.0655916246928666,-0.1076470919924915,-0.0084519423820707,-0.1277058422565459,-0.1610037982463836,-0.0442382395267486,-0.1377358436584472,-0.0912063419818877,1,0.0131578947368421,0.0,0.0461538461538461,1,0.0131578947368421,0.0,0.0461538461538461
