Model,Probability type,Temperature source,Temperature,ROC AUC,PR AUC,Brier score,NLL,ECE,MCE,Calibration intercept,Calibration slope,Brier 95% CI,NLL 95% CI,ECE 95% CI,Calibration CI method,Calibration bootstrap groups,Calibration bootstrap samples
ResNet18,raw,none,1.0,0.9968420773292996,0.9988320398317608,0.0225374195724725,0.0816714018583297,0.0310007559577214,0.1986290124746469,0.7838620471846324,1.6787834947710114,"(0.017409049114212392, 0.028838234860450028)","(0.06745025627315045, 0.09824564512819052)","(0.02583765218892034, 0.042221273548995616)",patient_group_bootstrap,461,1000
ResNet18,temperature_scaled,validation,0.4894367690114362,0.9968420773292996,0.9988320398317608,0.0215145386755466,0.0719809606671333,0.0147977662006049,0.3164274096488952,0.7841505315311064,0.8219114364598392,"(0.01430594981648028, 0.02990528931841254)","(0.04964809874072671, 0.0976150881499052)","(0.011572369103953123, 0.02788174146030918)",patient_group_bootstrap,461,1000
MobileNetV3-Small,raw,none,1.0,0.9931932171005492,0.9975882537777732,0.0453371442854404,0.1691223829984665,0.0874985072672162,0.4028087269376825,1.615683340944938,2.2982701646131,"(0.038391027878969905, 0.053818644396960734)","(0.14977033995091915, 0.19212394692003726)","(0.07847166576303044, 0.10280022590398684)",patient_group_bootstrap,461,1000
MobileNetV3-Small,temperature_scaled,validation,0.4773525321279752,0.9931932171005492,0.9975882537777732,0.0388195551931858,0.134799063205719,0.0509394664586204,0.5168569002832685,1.6157889959777252,1.0970946254878535,"(0.03022423111833632, 0.04902505176141858)","(0.10550583060830832, 0.16884402334690093)","(0.040638789119211656, 0.06537948407201856)",patient_group_bootstrap,461,1000
